v1,IoU
1,0.19584713147318714
2,0.47447575846212753
3,0.6147556340626359
4,0.694741934233893
5,0.7438802928680767
6,0.7829414241831154
7,0.8086223202146733
8,0.8303446856132389
9,0.8478508821515611
10,0.8610900921436822
11,0.8719940186200043
12,0.8834172512778181
13,0.8929620185535174
14,0.9016193894510639
15,0.908618324352669
16,0.9134321723570042
17,0.9199351182145046
18,0.924702942415004
19,0.9294813003418645
20,0.9342955090681486
21,0.9378487992517622
22,0.9408494847516068
23,0.9466049895022441
24,0.9493302281132444
25,0.9526092171177015
26,0.9557916261679315
27,0.9584702656645511
28,0.9605619305509583
29,0.9622418239251981
30,0.9666255836444791
31,0.9670593738586962
32,0.9705894893389808
33,0.9727439664283839
34,0.9755318326105759
35,0.9773418465322246
36,0.9773418465322246
37,0.9786878017482559
38,0.9786878017482559
39,0.981926250343842
40,0.9846527582223187
41,0.9846527582223187
42,0.9881561475679548
43,0.9890046773567713
44,0.9896085592908888
45,0.9896085592908888
46,0.9910498960759037
47,0.9921104615760116
48,0.9921104615760116
49,0.9921104615760116
50,0.9942913185095313
